epoch,loss,acc,val_loss,val_acc
1,0.5227,0.7853,0.6421,0.7301
2,0.4087,0.83,0.4062,0.8317
3,0.3241,0.8666,0.3562,0.8519
4,0.2369,0.9045,0.314,0.8666
5,0.1685,0.9344,0.426,0.8321
6,0.1066,0.9621,0.3005,0.8827
7,0.0595,0.9815,0.2843,0.8956
8,0.0303,0.9926,0.2967,0.8997
9,0.017,0.997,0.2822,0.9091
10,0.0089,0.9993,0.272,0.9121
11,5.10E-03,0.9998,0.2806,0.9123
12,4.00E-03,0.9999,0.2784,0.9151
13,3.00E-03,0.9999,0.2866,0.9151
14,2.60E-03,1,0.2951,0.9143
15,2.30E-03,1,0.2945,0.915
