epoch,loss,acc,val_loss,val_acc
1,0.492,0.8007,0.4246,0.8201
2,0.3033,0.8751,0.4566,0.8142
3,0.1793,0.9291,0.6358,0.7815
4,0.1026,0.9612,0.4244,0.8609
5,0.0678,0.9757,0.8033,0.8033
6,0.0428,0.9853,0.5624,0.8527
7,0.0225,0.9933,0.3305,0.9033
8,0.0092,0.9981,0.3042,0.917
9,0.0031,0.9998,0.2786,0.9235
10,0.0012,1,0.2844,0.925
11,7.87E-04,1,0.2884,0.9238
12,4.46E-04,1,0.2981,0.9254
13,5.52E-04,1,0.294,0.9251
14,4.90E-04,1,0.2961,0.9252
15,4.46E-04,1,0.2981,0.9254
